Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
242,4.0,0.2205,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Datacenter simulation in ns2
243,0.0,0.3194,"packet, message, send, node, receive, application, multiple, datum, specific, server",Is it possible to encrypt the broadcasting packets?
244,6.0,0.2083,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Finding gcc4 while installing the NS2
245,5.0,0.2614,"omnet, inet, make, project, build, link, error, library, fail, command",How to add or remove nodes at runtime in NS2
246,6.0,0.3071,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",ns2 allinone installation error in ubuntu 13.10
247,1.0,0.2859,"file, set, parameter, number, module, trace, generate, script, random, position",NS2 NAM output for SMAC protocol for 2 nodes not showing CBR transmission
248,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How can I calculate distance between two nodes by TOA and TDOA in NS2?
249,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",how to get length of queue in AODV?
250,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",How to log on file using threads
251,5.0,0.2431,"omnet, inet, make, project, build, link, error, library, fail, command",Failed to install Otcl-1.14 for NS-2
252,4.0,0.2542,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",NS-2 allinone 2.35 works find with Mac OS X Mavericks 10.9?
253,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",python compile error (binding c++)
254,3.0,0.3523,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Error ([Errno 111] Connection refused) in veins (sumo-launchd.py)
255,7.0,0.2488,"implement, find, add, function, route, code, class, type, program, call",automatic node neighbor discovery in ns2 depending on transmission power
256,1.0,0.2875,"file, set, parameter, number, module, trace, generate, script, random, position",i dont see hello packets in trace file
257,2.0,0.3764,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to wakeup sensor nodes in wsn using ns2?
258,1.0,0.2715,"file, set, parameter, number, module, trace, generate, script, random, position",can a function invoke another using a dot operator
259,5.0,0.3194,"omnet, inet, make, project, build, link, error, library, fail, command",ns-2 - ./validate fails in Ubuntu 13.10
260,2.0,0.2875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to show labels for ns2 nodes in nam animation and naming
261,5.0,0.2344,"omnet, inet, make, project, build, link, error, library, fail, command",How to configure Eclipse CDT to use WAF for ns3 build?
262,6.0,0.1705,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Adjusting the values of Pt_ and RXThresh_ variables for changing transmission range
263,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",Can NS3 EMU be applied on different machines in WAN?
264,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",Timers in NS2 causing segmentation fault
265,6.0,0.4129,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","omnet++ free( ): invalid pointer, error 134/139"
266,2.0,0.3523,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Implementing wireless sensor networks using NS2
267,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",how to use c ++ code in mixim
268,6.0,0.2083,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Weird math error when comparing two double values in NS-3 C++
269,0.0,0.2553,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to get the (Link-layer) Source Node of a packet at runtime in NS2?
270,0.0,0.3431,"packet, message, send, node, receive, application, multiple, datum, specific, server",send a requset message from BS to all nodes in the network C-Cooja
271,2.0,0.2981,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Running virtual box is causing a restart of the host system?
272,7.0,0.2875,"implement, find, add, function, route, code, class, type, program, call",Class is not linked properly
273,2.0,0.2488,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Implementing/Simulating TOR(The Onion Router) with ns2.
274,1.0,0.3875,"file, set, parameter, number, module, trace, generate, script, random, position",not able to get effect of modified tcp.cc file in NS2.35 (ubuntu-12.10)
275,4.0,0.2303,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Omnet++: getting .ned file after simulations has ended
276,0.0,0.1788,"packet, message, send, node, receive, application, multiple, datum, specific, server",Trace graph in ns2
277,2.0,0.2581,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Setting default RTO (Retransmit Timeout) value in ns-3 simulator
278,0.0,0.3085,"packet, message, send, node, receive, application, multiple, datum, specific, server",ns3 - using a data quota instead of a time limit to stop a simulated application?
279,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",ns-3 simulator BulkSendApplication completion time?
280,1.0,0.2764,"file, set, parameter, number, module, trace, generate, script, random, position",Node movement using random Uniform
281,0.0,0.2839,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to make packets flow from source node to destination node through multiple nodes?
282,0.0,0.397,"packet, message, send, node, receive, application, multiple, datum, specific, server","ns-3 uniquely indexing application instances, packets and so on"
283,1.0,0.2488,"file, set, parameter, number, module, trace, generate, script, random, position","MANETs (Random Walk, Random Direction, etc.) in NS2"
284,2.0,0.2875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to create a BulkSendApllication for Multiple destinations?
285,4.0,0.2066,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",ns-3 router buffer simulation?
286,6.0,0.2344,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",I need explaination of the following tcl code in ns2
287,0.0,0.2054,"packet, message, send, node, receive, application, multiple, datum, specific, server",".Error message wrong # args: should be ""for start test next command"" coming"
288,6.0,0.2875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",error when try to compile omnet 4.2
289,0.0,0.2614,"packet, message, send, node, receive, application, multiple, datum, specific, server",Applying network latency for every TCP packet
290,6.0,0.2488,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","how to get rid of the error ""‘class Agent’ has no member named x"""
291,1.0,0.3523,"file, set, parameter, number, module, trace, generate, script, random, position",Passing command line arguement in tcl script in NS2
292,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",error in running tcl script
293,4.0,0.4063,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Calculating energy consumption of TCP in NS2
294,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",CBR traffic does not get added
295,6.0,0.2653,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Error: cannot call constructor
296,5.0,0.2875,"omnet, inet, make, project, build, link, error, library, fail, command",Taking 17.x seconds to send 10MB over a 10MB/s link through a switch in ns3
297,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Display menu in omnetpp
298,3.0,0.2513,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Change the packet flow through one router to another in NS2
299,1.0,0.2614,"file, set, parameter, number, module, trace, generate, script, random, position",i make a file.tcl when i execute an error produced
300,7.0,0.3422,"implement, find, add, function, route, code, class, type, program, call",Find Queue Size of the Link in Ns2
301,7.0,0.2311,"implement, find, add, function, route, code, class, type, program, call",ns2 exponential distribution in packet size
302,0.0,0.4432,"packet, message, send, node, receive, application, multiple, datum, specific, server","NS2, packets larger than 100 byte are dropped on 802.15.4"
303,6.0,0.3229,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",how to proceed with the make command in ubuntu 10.04 to install NS2?
304,2.0,0.2212,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",calculate next shortest path(minimum hop to destination)
305,1.0,0.3194,"file, set, parameter, number, module, trace, generate, script, random, position","NS2 Couldnt execute ""homework.nam"" : no such file"
306,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",crcn patch error for ns2 in ubuntu
307,2.0,0.3194,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Declaration of Pointers in Network simulator 2 (NS2)
308,1.0,0.2715,"file, set, parameter, number, module, trace, generate, script, random, position",Reading Trace file from NS2 using gawk
309,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",how to access value in tcl script from .cc files
310,0.0,0.2344,"packet, message, send, node, receive, application, multiple, datum, specific, server",how to send packet back?
311,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",awk code to calculate throughput for some nodes
